topic,year,count
Cultural Heritage Tourism,2021,4
Digitalization,2021,4
Education,2021,4
Hotels,2021,4
Of Arabic,2021,4
Of Cultural Heritage,2021,4
On Tourism,2021,4
Pilgrimage,2021,4
Sustainable Tourism,2021,4
Tourism Recovery,2021,4
Travel,2021,4
Virtual,2021,4
Visitors,2021,4
World Heritage Site,2021,4
旅游,2021,4
And Destination Image,2022,4
Arab World,2022,4
Artificial Intelligence In,2022,4
Community Participation,2022,4
Conservation,2022,4
Cultural Heritage And,2022,4
Cultural Heritage Tourism,2022,4
Deep Learning,2022,4
Dubai,2022,4
Education,2022,4
Hajj,2022,4
Heritage In,2022,4
Heritage Site,2022,4
Hospitality And Tourism,2022,4
Knowledge Graph,2022,4
Market,2022,4
Museums,2022,4
Of China,2022,4
Of Destination,2022,4
Of Smart Tourism,2022,4
Of The Tourism,2022,4
On Tourism,2022,4
Participation In,2022,4
Smart Cities,2022,4
Tourism In The,2022,4
Tourism Products,2022,4
Unesco World,2022,4
Unesco World Heritage,2022,4
And Tourism In,2023,4
And Virtual Reality,2023,4
Arab Emirates,2023,4
Arab Gulf,2023,4
Arab World,2023,4
Blockchain,2023,4
Chatbot,2023,4
Cultural Heritage Tourism,2023,4
Digital Transformation,2023,4
Educational,2023,4
Heritage In The,2023,4
In Cultural Heritage,2023,4
In Smart,2023,4
In The Tourism,2023,4
Museum Diplomacy,2023,4
Museums,2023,4
Of Cultural Heritage,2023,4
Of Cultural Tourism,2023,4
Of Heritage,2023,4
Of Smart,2023,4
Of Virtual,2023,4
Religious Tourism,2023,4
Sustainability Of,2023,4
Thailand,2023,4
The Arab World,2023,4
The Tourism Industry,2023,4
To Mecca,2023,4
Tourism Recovery,2023,4
Unesco World,2023,4
United Arab,2023,4
United Arab Emirates,2023,4
University,2023,4
Visitors,2023,4
Ai Chatbot,2024,4
Ai-Driven,2024,4
And Virtual Reality,2024,4
Artificial Intelligence In,2024,4
Belt And Road,2024,4
Big Data,2024,4
Blockchain Technology,2024,4
Cultural Heritage Knowledge,2024,4
Destination Marketing,2024,4
Digital Marketing,2024,4
Domestic Tourism,2024,4
Ecotourism,2024,4
Environmental,2024,4
Gulf Region,2024,4
Heritage Knowledge,2024,4
Heritage Knowledge Graph,2024,4
Higher Education,2024,4
Hospitality And Tourism,2024,4
Hotel,2024,4
In Cultural Tourism,2024,4
In Education,2024,4
In The Arab,2024,4
Islam,2024,4
Knowledge Graph And,2024,4
Knowledge Graphs,2024,4
Muslim,2024,4
Of Artificial,2024,4
Of Artificial Intelligence,2024,4
Of Augmented Reality,2024,4
Of The Tourism,2024,4
Rural Tourism,2024,4
Service Marketing,2024,4
Smart Tourism Destinations,2024,4
Tourism Marketing,2024,4
Tourism Policy,2024,4
Tourism Recovery,2024,4
Unesco,2024,4
Unesco World,2024,4
Unesco World Heritage,2024,4
Virtual Reality And,2024,4
文化传播,2024,4
Accessible Tourism,2025,4
And Destination Image,2025,4
And Road Initiative,2025,4
Archaeological,2025,4
Big Data In,2025,4
Cultural Heritage And,2025,4
Destination Branding,2025,4
Digital Economy,2025,4
Digital Marketing,2025,4
Environmental,2025,4
Generative Ai For,2025,4
Heritage Diplomacy,2025,4
In Smart,2025,4
Marketing In,2025,4
Marketing Strategies,2025,4
Music,2025,4
Of Destination Image,2025,4
Of Hajj,2025,4
Of Smart,2025,4
Of Smart Tourism,2025,4
Of Tourist,2025,4
On Tourist,2025,4
Short Video Marketing,2025,4
Smart Tourism Destination,2025,4
Sports Tourism,2025,4
The Tourism Sector,2025,4
Tourism In Saudi,2025,4
Tourism Short,2025,4
Tourism Short Video,2025,4
Travel Intentions,2025,4
Travellers,2025,4
Umrah,2025,4
University,2025,4
Video Marketing,2025,4
Virtual Tourism,2025,4
保护,2025,4
技术,2025,4
And Generative Ai,2026,4
And Road Initiative,2026,4
Cultural And Tourism,2026,4
Cultural Heritage Tourism,2026,4
Destination Image In,2026,4
For Smart Tourism,2026,4
Generative Ai For,2026,4
Image And Destination,2026,4
In Arab,2026,4
In Digital,2026,4
Law,2026,4
Market,2026,4
Muslim,2026,4
Of China,2026,4
Pilgrimage,2026,4
Preservation,2026,4
Road Initiative,2026,4
Smart Tourism And,2026,4
Strategy,2026,4
The Belt And,2026,4
Tour,2026,4
Tourism Marketing,2026,4
Tourism Policy,2026,4
Visitor,2026,4
Wellness Tourism,2026,4
保护,2026,4
可持续,2026,4
文化交流,2026,4
治理,2026,4
社交媒体,2026,4
经济,2026,4
Tourism/Cultural Exchange (宽泛匹配),1913,3
Arab,1976,3
Tourism,1982,3
Tourism,1985,3
Tourism,1987,3
Tourism Monitor,1988,3
Arab,1991,3
Arab World,1991,3
The Arab World,1991,3
Hajj,1994,3
Tourism/Cultural Exchange (宽泛匹配),1994,3
Interfaith,1995,3
Market,1997,3
Heritage,1998,3
Islam,2000,3
Travel,2001,3
Environmental,2002,3
Tourism In,2002,3
Tourist,2002,3
Heritage As,2003,3
Heritage Tourism,2003,3
Middle East,2003,3
Public Policy,2003,3
At World Heritage,2004,3
Cultural Tourism,2004,3
Culture,2004,3
Destination,2004,3
Policy,2004,3
Sustainable,2004,3
Sustainable Tourism,2004,3
China,2005,3
In Travel,2006,3
Policy,2006,3
Text Mining,2006,3
Tourism In The,2006,3
Digital Cultural,2007,3
Digital Cultural Heritage,2007,3
Heritage Sites,2007,3
Market,2007,3
Of Tourism,2007,3
On Tourism,2007,3
Text Mining,2007,3
Tourist,2007,3
Urban Heritage,2007,3
Environmental,2008,3
Heritage Tourism And,2008,3
Intangible Cultural Heritage,2008,3
Museum,2008,3
Of Tourism,2008,3
Tourism In,2008,3
World Heritage,2008,3
Arabic,2009,3
Cultural Heritage,2009,3
Culture,2009,3
Destination,2009,3
Middle East,2009,3
Muslim,2009,3
Of Tourism,2009,3
Policy,2009,3
Arab Emirates,2010,3
Arabic,2010,3
Conservation,2010,3
Cultural Policy,2010,3
Cultural Tourism,2010,3
Destination Image,2010,3
Heritage And Tourism,2010,3
Of Cultural Heritage,2010,3
Sustainable Tourism,2010,3
The United Arab,2010,3
Unesco World,2010,3
Unesco World Heritage,2010,3
United Arab,2010,3
United Arab Emirates,2010,3
Arab Journalism,2011,3
Cultures,2011,3
Education,2011,3
Interfaith,2011,3
Interfaith Dialogue,2011,3
Policy,2011,3
Sustainable,2011,3
Text Mining,2011,3
Tourism In,2011,3
Agriculture,2012,3
Arab Media,2012,3
Archaeology,2012,3
Destination Marketing,2012,3
In Arab,2012,3
Muslim,2012,3
Policy,2012,3
The Arab World,2012,3
Tourism Destination,2012,3
Tourism Destinations,2012,3
And Cultural Tourism,2013,3
Arab Spring,2013,3
Arabic,2013,3
Cultural Policy,2013,3
Culture,2013,3
Dark Tourism,2013,3
Destination Brand,2013,3
Education,2013,3
Event Tourism,2013,3
Hospitality,2013,3
Intangible Cultural Heritage,2013,3
Market,2013,3
On Destination,2013,3
Outbound Travel,2013,3
Sustainable Tourism,2013,3
The Arab Spring,2013,3
Tourism And The,2013,3
Tourism Governance,2013,3
Tourism/Cultural Exchange (宽泛匹配),2013,3
Virtual,2013,3
Arab Emirates,2014,3
Archaeology,2014,3
Culture,2014,3
Dubai,2014,3
In The Arab,2014,3
Learning,2014,3
Marketing,2014,3
Middle East,2014,3
Music,2014,3
Of Arab,2014,3
Of Destination,2014,3
Preservation,2014,3
Sustainable,2014,3
Tourism Industry,2014,3
Tourism Marketing,2014,3
United Arab,2014,3
United Arab Emirates,2014,3
User Generated Content,2014,3
 ,2015,3
"""",2015,3
",",2015,3
Abroad,2015,3
Arab Spring,2015,3
Arab World,2015,3
Augmented Reality,2015,3
Country Of Destination,2015,3
In The Arab,2015,3
Learning,2015,3
Marketing,2015,3
Middle East,2015,3
On Tourism,2015,3
Sustainability,2015,3
The Arab Spring,2015,3
Tourism Destination,2015,3
Tourism In,2015,3
Tourism Product,2015,3
Virtual,2015,3
[,2015,3
],2015,3
a,2015,3
i,2015,3
m,2015,3
o,2015,3
r,2015,3
s,2015,3
t,2015,3
u,2015,3
Arabic,2016,3
Dark Tourism,2016,3
Economy,2016,3
Education,2016,3
Heritage Tourism And,2016,3
Islamic,2016,3
Of Cultural Tourism,2016,3
Part,2016,3
Pilgrimage,2016,3
Silk,2016,3
Sustainable Tourism,2016,3
Text Mining,2016,3
The Arab Spring,2016,3
To Mecca,2016,3
Travel,2016,3
Unesco,2016,3
And The Heritage,2017,3
Arab Spring,2017,3
Archaeology,2017,3
Art,2017,3
Belt,2017,3
Conservation Of,2017,3
Cultural Tourism,2017,3
Dark Tourism,2017,3
Dubai,2017,3
Environmental,2017,3
Exhibition,2017,3
For Cultural Heritage,2017,3
Hospitality,2017,3
International Tourism,2017,3
Kuwait,2017,3
Of Arab,2017,3
Of World Heritage,2017,3
On Tourism,2017,3
One Belt,2017,3
One Road,2017,3
The Silk Road,2017,3
Tourism At,2017,3
Tourism Destinations,2017,3
Tourism In The,2017,3
Trails,2017,3
Virtual Reality,2017,3
阿拉伯,2017,3
And Tourism In,2018,3
Arab Region,2018,3
Arab World,2018,3
Archaeological,2018,3
Augmented Reality,2018,3
Community Participation,2018,3
Destination Image And,2018,3
Destination Loyalty,2018,3
Destinations,2018,3
Digital Technologies,2018,3
Dubai,2018,3
Ecotourism,2018,3
Environment,2018,3
For Cultural Heritage,2018,3
Hajj,2018,3
Heritage Site,2018,3
Heritage Sites,2018,3
In China,2018,3
In Cultural Heritage,2018,3
Interfaith,2018,3
Interfaith Dialogue,2018,3
Market,2018,3
Museum,2018,3
North Africa,2018,3
Of Tourism Destination,2018,3
On Tourism,2018,3
Outbound Tourism,2018,3
Participation,2018,3
Policy On,2018,3
Silk Road And,2018,3
Smart Tourism,2018,3
Sustainability Of,2018,3
Text Mining,2018,3
The Arab Region,2018,3
The Arab World,2018,3
The One Belt,2018,3
Virtual Reality,2018,3
Visitor,2018,3
 ,2019,3
"""",2019,3
",",2019,3
And Destination Image,2019,3
Arabic,2019,3
Artistic,2019,3
At World Heritage,2019,3
Blockchain,2019,3
Calligraphy,2019,3
Cultural Heritage And,2019,3
Cultural Heritage In,2019,3
Destination Image On,2019,3
Exhibition,2019,3
Heritage As,2019,3
Heritage In Tourism,2019,3
In Arab,2019,3
In The Arab,2019,3
Islam,2019,3
Law,2019,3
Machine Learning For,2019,3
Museum Diplomacy,2019,3
Of Arab,2019,3
Of China,2019,3
Of Destination Image,2019,3
Revisit Intention,2019,3
Smart Cities,2019,3
Smart Tourism,2019,3
Sustainability,2019,3
The Maritime Silk,2019,3
Tour,2019,3
Tourism Policy,2019,3
Trade,2019,3
Unesco World,2019,3
Unesco World Heritage,2019,3
Virtual Reality,2019,3
[,2019,3
],2019,3
中国,2019,3
Agriculture,2020,3
And Augmented Reality,2020,3
And Cultural Heritage,2020,3
And Destination Image,2020,3
And Sustainable Tourism,2020,3
And The Arab,2020,3
Arab Emirates,2020,3
Augmented Reality,2020,3
Big Data Analytics,2020,3
Cairo,2020,3
Carrying Capacity,2020,3
Chinese Tourists,2020,3
Community-Based Tourism,2020,3
Dark Tourism In,2020,3
Destination Image And,2020,3
Economy In,2020,3
Egyptian Museum,2020,3
Halal Tourism,2020,3
Heritage Of,2020,3
Heritage Sites,2020,3
In Sustainable,2020,3
In Sustainable Tourism,2020,3
Interfaith,2020,3
Interfaith Dialogue,2020,3
Islamic,2020,3
Of China,2020,3
Of Dark Tourism,2020,3
Of The Belt,2020,3
Of Tourism And,2020,3
Online Destination,2020,3
Policy In,2020,3
Religious Tourism,2020,3
The United Arab,2020,3
Tourism Demand,2020,3
Tourist Destination,2020,3
United Arab,2020,3
United Arab Emirates,2020,3
Virtual Reality And,2020,3
ش,2020,3
ك,2020,3
文化旅游,2020,3
 ,2021,3
"""",2021,3
",",2021,3
Agriculture,2021,3
Arab Emirates,2021,3
Arab Spring,2021,3
Artificial,2021,3
Artificial Intelligence,2021,3
Carrying Capacity,2021,3
China And The,2021,3
Climate,2021,3
Climate Change,2021,3
Conservation,2021,3
Dark Heritage,2021,3
Dark Tourism,2021,3
Destination Image And,2021,3
Destination Loyalty,2021,3
Digital Transformation,2021,3
Digital Twin,2021,3
Domestic Tourism,2021,3
Environmental,2021,3
Environments,2021,3
Foreign Policy,2021,3
In Cultural Tourism,2021,3
Law,2021,3
Media Marketing,2021,3
Music,2021,3
Of Digital,2021,3
Of Tourism Destination,2021,3
Policy In,2021,3
Political Economy,2021,3
Social Media Marketing,2021,3
The Arab Spring,2021,3
The Political Economy,2021,3
The United Arab,2021,3
Tourism Destination Image,2021,3
Tourism Destinations,2021,3
Tourism On,2021,3
Tourism Policy,2021,3
Tourism To,2021,3
Unesco,2021,3
United Arab,2021,3
United Arab Emirates,2021,3
User Generated Content,2021,3
World Heritage Sites,2021,3
[,2021,3
],2021,3
 ,2022,3
"""",2022,3
",",2022,3
Art,2022,3
Authenticity In Tourism,2022,3
Blockchain Technology,2022,3
Cairo,2022,3
Carrying Capacity,2022,3
Chinese Outbound Tourism,2022,3
Community Participation In,2022,3
Cultural Heritage Based,2022,3
Destination Governance,2022,3
Digital Cultural,2022,3
Digital Twin,2022,3
Environmental,2022,3
Exhibition,2022,3
For Cultural Heritage,2022,3
Heritage Based On,2022,3
Heritage Diplomacy,2022,3
Heritage Tourism In,2022,3
In Smart,2022,3
In Tourism And,2022,3
Journey,2022,3
Law,2022,3
Metaverse In,2022,3
Music,2022,3
Of Arab,2022,3
Of Cultural Tourism,2022,3
Of Culture,2022,3
Of Digital,2022,3
Of Machine Learning,2022,3
Of Muslim,2022,3
Of Rural Tourism,2022,3
On Tourists,2022,3
Policy In,2022,3
Preservation Of,2022,3
Silk Road And,2022,3
Smart Tourism Destination,2022,3
Sustainability In,2022,3
The Arab World,2022,3
To Tourism,2022,3
Tourism As,2022,3
Tourism Demand,2022,3
Tourism Destinations,2022,3
Tourism On,2022,3
Tourism Sector,2022,3
Tourist Destination,2022,3
Virtual Reality And,2022,3
Visitors,2022,3
With Machine Learning,2022,3
World Heritage Site,2022,3
[,2022,3
],2022,3
ا,2022,3
ب,2022,3
ة,2022,3
ت,2022,3
ث,2022,3
ج,2022,3
ح,2022,3
د,2022,3
ر,2022,3
ز,2022,3
ط,2022,3
ع,2022,3
ك,2022,3
ل,2022,3
م,2022,3
ه,2022,3
و,2022,3
ي,2022,3
Ai-Generated Content,2023,3
And Cultural Heritage,2023,3
Archaeological,2023,3
Artificial Intelligence In,2023,3
Community-Based Tourism,2023,3
Conservation,2023,3
Dark Tourism,2023,3
Destination Image And,2023,3
Destination Loyalty,2023,3
Education In,2023,3
Environment,2023,3
Generative Artificial,2023,3
Generative Artificial Intelligence,2023,3
Heritage Preservation,2023,3
Heritage Tourism In,2023,3
In Higher Education,2023,3
In Smart Tourism,2023,3
In The Metaverse,2023,3
In Tourist,2023,3
International Tourism,2023,3
Islamic,2023,3
Maritime Silk,2023,3
Middle East,2023,3
Of Artificial,2023,3
Of China,2023,3
Of Destination Image,2023,3
Of Generative Ai,2023,3
Of Pilgrimage,2023,3
Of Rural Tourism,2023,3
Of The Silk,2023,3
Of Tourists,2023,3
On Cultural Heritage,2023,3
On Heritage,2023,3
Pilgrimage In,2023,3
Preservation Of,2023,3
Revisit Intention,2023,3
Smart City,2023,3
Sustainability In,2023,3
The Arab Gulf,2023,3
The Digital Twin,2023,3
Tourism As,2023,3
Tourism Destination Image,2023,3
Tourism On,2023,3
Tourism Policy,2023,3
Tourism Sector,2023,3
Tourism To,2023,3
Tourist Destinations,2023,3
Tourist Perception,2023,3
Tourists In,2023,3
Trade,2023,3
Video Marketing,2023,3
Wine Tourism,2023,3
World Heritage Sites,2023,3
中国,2023,3
文化,2023,3
And Road Initiative,2024,3
Chains,2024,3
Community-Based Tourism,2024,3
Destination Image Through,2024,3
Destination In,2024,3
Digital Product,2024,3
Digital Twin,2024,3
Educational Tourism,2024,3
English And Arabic,2024,3
Environments,2024,3
Exhibition,2024,3
For Cultural Heritage,2024,3
For Smart Tourism,2024,3
Generative Ai For,2024,3
Hajj And Umrah,2024,3
Heritage Based On,2024,3
Heritage Of,2024,3
Heritage Site,2024,3
Heritage Sites,2024,3
Hospitality Industry,2024,3
In Heritage,2024,3
In Heritage Tourism,2024,3
In Higher Education,2024,3
In Hospitality,2024,3
In Hospitality And,2024,3
In The Metaverse,2024,3
In Tourist,2024,3
Islamic,2024,3
Market,2024,3
Marketing Strategies,2024,3
Medical Tourism,2024,3
Museums,2024,3
North Africa,2024,3
Of Arabic,2024,3
Of Culture,2024,3
Of Digital Cultural,2024,3
Of Hajj,2024,3
Of Tourist,2024,3
On Destination,2024,3
On Tourist,2024,3
Research On Tourism,2024,3
Road Initiative,2024,3
Roadmap,2024,3
Smart Tourism And,2024,3
Supply Chains,2024,3
Sustainability In,2024,3
The Belt And,2024,3
The Cultural Heritage,2024,3
Tourism Demand,2024,3
Tourism Destination Image,2024,3
Tourism Image,2024,3
Tourism Integration,2024,3
Tourism Resources,2024,3
Tourism To,2024,3
Tourist Behavior,2024,3
Tourist Destination Image,2024,3
Tourist Satisfaction,2024,3
Umrah Pilgrimage,2024,3
Urban Tourism,2024,3
User Generated Content,2024,3
Virtual Tourism,2024,3
With Generative Ai,2024,3
中国,2024,3
保护,2024,3
教育,2024,3
跨文化,2024,3
Ai Chatbot,2025,3
Ai-Powered,2025,3
Artificial Intelligence In,2025,3
Blockchain,2025,3
Chains,2025,3
Climate,2025,3
Cultural Heritage In,2025,3
Cultural Tourism In,2025,3
Dark Tourism,2025,3
Deep Learning,2025,3
Destination Image And,2025,3
Digital Cultural,2025,3
Digital Cultural Heritage,2025,3
Digital Tourism,2025,3
Digital Twins,2025,3
Governance Of,2025,3
Heritage Of,2025,3
Heritage Sites,2025,3
Heritage Tourism And,2025,3
Higher Education,2025,3
Hotels,2025,3
In Cultural Heritage,2025,3
In Digital,2025,3
In Smart Tourism,2025,3
In The Arab,2025,3
Learning Models,2025,3
Learning-Based,2025,3
Marketing On,2025,3
Mecca,2025,3
Middle East,2025,3
Museum Diplomacy,2025,3
Museums,2025,3
Of Big Data,2025,3
Of Umrah,2025,3
Of Virtual Reality,2025,3
Participatory,2025,3
Recommender,2025,3
Regulations,2025,3
Religious Tourism,2025,3
Road Cultural,2025,3
Rural Tourism,2025,3
Sustainability In,2025,3
Sustainable Tourism In,2025,3
The Maritime Silk,2025,3
The Tourism Industry,2025,3
Tourism And Cultural,2025,3
Tourism Demand,2025,3
Tourism Destination Image,2025,3
Tourism Product,2025,3
Tourism Promotion,2025,3
Tourist Perception,2025,3
Travel And Tourism,2025,3
Travel Intention,2025,3
Travelers,2025,3
Umrah Pilgrimage,2025,3
Unesco,2025,3
User Generated Content,2025,3
Wellness Tourism,2025,3
World Heritage Site,2025,3
一带一路,2025,3
可持续,2025,3
对话,2025,3
战略,2025,3
新研究,2025,3
经济发展,2025,3
话语分析,2025,3
Ai Chatbot,2026,3
And Sustainable Tourism,2026,3
Chatbot,2026,3
Conservation,2026,3
Cultural Heritage And,2026,3
Cultural Heritage In,2026,3
Cultural Heritage With,2026,3
Destination Brand,2026,3
Destination Competitiveness,2026,3
Heritage And Tourism,2026,3
Heritage In The,2026,3
Heritage In Tourism,2026,3
Heritage Reconstruction,2026,3
Higher Education,2026,3
In China,2026,3
In Destination,2026,3
In Hospitality,2026,3
In Tourism Research,2026,3
Knowledge Graph Construction,2026,3
Markets,2026,3
Metaverse,2026,3
Middle East,2026,3
Museums,2026,3
Of Smart,2026,3
Of Smart Tourism,2026,3
Of Sustainable Tourism,2026,3
Of The Tourism,2026,3
Of Tourist,2026,3
On The Tourism,2026,3
On Tourists,2026,3
Pilgrimage Tourism,2026,3
Religious Tourism,2026,3
Roads,2026,3
Sharm El Sheikh,2026,3
The Tourism Industry,2026,3
The Tourism Sector,2026,3
Tourism Destination,2026,3
Tourism Destinations,2026,3
Tourism Innovation,2026,3
Tourism Sector,2026,3
Urban Tourism,2026,3
With Generative Ai,2026,3
大学,2026,3
数据,2026,3
新研究,2026,3
旅游融合,2026,3
遗产数字化,2026,3
Of Arab,1969,2
Of The Arab,1969,2
Arab,1971,2
Arab,1972,2
Tourism,1976,2
Tourism,1979,2
Arabic-English,1983,2
Tourism,1983,2
Tourism Monitor,1984,2
Tourism Monitor,1985,2
Arab,1988,2
Tourism,1991,2
Tourist,1991,2
Tourism,1992,2
Tourism,1993,2
Arab,1994,2
Heritage,1994,2
Middle East,1994,2
Tourism In,1994,2
International Museum,1995,2
Museum,1995,2
Tourism,1996,2
In Tourism,1997,2
Market,1998,2
Middle East,1998,2
Destination,1999,2
Environment,1999,2
Cultural Heritage,2000,2
Market,2000,2
Middle East,2000,2
Tourism Market,2000,2
Arab,2001,2
Cultural Heritage,2001,2
Middle East,2001,2
Of Tourism,2001,2
Arab,2002,2
Arab-Israeli,2002,2
Cultural Tourism,2002,2
Destination,2002,2
Destination Brand,2002,2
Market,2002,2
Of Tourism,2002,2
Pilgrimage,2002,2
Road,2002,2
Silk,2002,2
Silk Road,2002,2
Sustainable,2002,2
Sustainable Tourism,2002,2
Arab World,2003,2
Carrying Capacity,2003,2
Interfaith,2003,2
Interfaith Dialogue,2003,2
North Africa,2003,2
Of Heritage,2003,2
Outbound Tourism,2003,2
Sustainability,2003,2
Sustainable,2003,2
The Arab World,2003,2
Tourism And The,2003,2
Tourism As,2003,2
And Cultural Tourism,2004,2
Arab,2004,2
Arab World,2004,2
Arabia,2004,2
Cultural Heritage,2004,2
Cultural Tourism In,2004,2
Destination Image,2004,2
Digital,2004,2
Ecotourism,2004,2
In The Arab,2004,2
Market,2004,2
Markets,2004,2
Middle East,2004,2
Outbound Tourism,2004,2
Saudi Arabia,2004,2
Sustainability,2004,2
Sustainable Tourism Planning,2004,2
Thailand,2004,2
The Arab World,2004,2
Tourism At,2004,2
Tourism Planning,2004,2
Tourist,2004,2
Trade,2004,2
Arab,2005,2
Destination Branding,2005,2
Destinations,2005,2
Heritage,2005,2
In Arabic,2005,2
In China,2005,2
Learning,2005,2
Of Tourism,2005,2
Tourism Destinations,2005,2
And Community Participation,2006,2
And Cultural Tourism,2006,2
Arab World,2006,2
Arabia,2006,2
Carrying Capacity,2006,2
Culture,2006,2
Destination,2006,2
Hajj,2006,2
Heritage Tourism,2006,2
In Tourism,2006,2
Learning,2006,2
Museum,2006,2
Pilgrimage,2006,2
Saudi Arabia,2006,2
Strategy,2006,2
The Arab World,2006,2
Tourism Industry,2006,2
Tourist,2006,2
旅游,2006,2
Arab Media,2007,2
Cultural Heritage And,2007,2
Cultural Heritage Through,2007,2
Cultural Tourism,2007,2
Cultural Tourism In,2007,2
Environments,2007,2
Heritage Tourism,2007,2
In Tourism,2007,2
Museum,2007,2
Religious Tourism,2007,2
Tourism In The,2007,2
Tourism/Cultural Exchange (宽泛匹配),2007,2
Visitor,2007,2
War Heritage,2007,2
World Heritage,2007,2
Community-Based Tourism,2008,2
Culture,2008,2
Destination Brand,2008,2
Destination Country,2008,2
Heritage Authenticity,2008,2
Heritage Authenticity And,2008,2
In China,2008,2
In Cultural Heritage,2008,2
In Tourism,2008,2
In Tourism And,2008,2
Museums,2008,2
Music,2008,2
Music Festival,2008,2
Of Destination,2008,2
On Tourism,2008,2
Policy On,2008,2
Road,2008,2
Silk,2008,2
Silk Road,2008,2
Tourism And Heritage,2008,2
Tourism/Cultural Exchange (宽泛匹配),2008,2
Tourist Behavior,2008,2
Trade,2008,2
Travel,2008,2
Unesco,2008,2
Virtual,2008,2
World Tourism,2008,2
Arab Emirates,2009,2
Arab World,2009,2
Arabic Version,2009,2
Culture Of,2009,2
Dubai,2009,2
Environmental,2009,2
In China,2009,2
Learning,2009,2
Of China,2009,2
Of Cultural Tourism,2009,2
Outbound Tourism,2009,2
The Arab World,2009,2
Tourism And The,2009,2
Tourism/Cultural Exchange (宽泛匹配),2009,2
Tourists,2009,2
Unesco,2009,2
United Arab,2009,2
United Arab Emirates,2009,2
Destination Brand,2010,2
Digital,2010,2
Environments,2010,2
Hajj,2010,2
In China,2010,2
Marketing,2010,2
Museum,2010,2
Of Tourism,2010,2
Preservation,2010,2
Road,2010,2
Silk,2010,2
Silk Road,2010,2
Strategy,2010,2
The Silk Road,2010,2
Tourism And Cultural,2010,2
Tourism Destination,2010,2
Travel,2010,2
World Heritage And,2010,2
And Heritage Tourism,2011,2
And Interfaith Dialogue,2011,2
Arab World,2011,2
Cultural Tourism,2011,2
Destination Image,2011,2
Educational,2011,2
Festival Tourism,2011,2
For Cultural Heritage,2011,2
Governance,2011,2
In China,2011,2
In Digital,2011,2
In Tourism,2011,2
Marketing,2011,2
Middle East,2011,2
Museum,2011,2
Museums,2011,2
Of Destination,2011,2
Of Heritage,2011,2
Outbound Tourists,2011,2
Preservation,2011,2
The Arab World,2011,2
Tourism Destination,2011,2
Tourists,2011,2
Unesco,2011,2
World Heritage,2011,2
And Cultural Tourism,2012,2
Arab Gulf,2012,2
Arabia,2012,2
Arabic Version,2012,2
Carrying Capacity,2012,2
China And The,2012,2
Chinese Outbound Tourism,2012,2
Cultural Heritage In,2012,2
Cultural Policy,2012,2
Dark Tourism,2012,2
Destination Image,2012,2
Education,2012,2
Governance,2012,2
Heritage In,2012,2
In Cultural Tourism,2012,2
In The Arab,2012,2
Learning,2012,2
Museum,2012,2
Of Digital,2012,2
Of The Arab,2012,2
On Tourism,2012,2
Outbound Tourism,2012,2
Participation In,2012,2
Preservation,2012,2
Saudi Arabia,2012,2
Smart,2012,2
Strategy,2012,2
Sustainability,2012,2
Sustainable Tourism And,2012,2
The United Arab,2012,2
Tourism In China,2012,2
Tourism Marketing,2012,2
Tourists,2012,2
Virtual,2012,2
Arab World,2013,2
Arabia,2013,2
Archaeology,2013,2
Calligraphy,2013,2
Conservation,2013,2
Country Of Destination,2013,2
Cultural Heritage Tourism,2013,2
Economy,2013,2
For Cultural Heritage,2013,2
Governance Of,2013,2
Hajj,2013,2
Heritage In,2013,2
Heritage Interpretation,2013,2
Heritage Tourism And,2013,2
Heritage Tourism In,2013,2
In China,2013,2
In The Arab,2013,2
Islam,2013,2
Learning,2013,2
Of Arabic,2013,2
Of China,2013,2
Of The Arab,2013,2
On Cultural Heritage,2013,2
Outbound Tourism,2013,2
Pilgrimage,2013,2
Policy In,2013,2
Policy In The,2013,2
Saudi Arabia,2013,2
Sustainability,2013,2
Tourism As,2013,2
Tourists,2013,2
Wellness Tourism,2013,2
World Heritage,2013,2
丝绸之路,2013,2
Arab Media,2014,2
Chains,2014,2
Community Participation,2014,2
Community Participation In,2014,2
Cruise,2014,2
Cultural Heritage Preservation,2014,2
Destination Brand,2014,2
Digital Heritage,2014,2
For Cultural Heritage,2014,2
Heritage And Tourism,2014,2
Heritage Interpretation,2014,2
Heritage Preservation,2014,2
Heritage Sites,2014,2
Heritage Tourism,2014,2
Higher Education,2014,2
Image And Destination,2014,2
In China,2014,2
In Cultural Tourism,2014,2
In Digital,2014,2
In The Tourism,2014,2
Machine Learning,2014,2
Market,2014,2
Of Destination Image,2014,2
Of Virtual,2014,2
Participation,2014,2
Participation In,2014,2
Pilgrimage,2014,2
Policy In,2014,2
Smart,2014,2
Temple,2014,2
The Arab Spring,2014,2
The Tourism Industry,2014,2
The United Arab,2014,2
Tourism Destination,2014,2
Tourism On,2014,2
Trade,2014,2
University,2014,2
Virtual Reconstruction,2014,2
Virtual Reconstruction Of,2014,2
World Heritage,2014,2
World Heritage Site,2014,2
And The Arab,2015,2
Arab Countries,2015,2
Arab Emirates,2015,2
Arabia,2015,2
Circular Economy,2015,2
Cultural Heritage And,2015,2
Culture Of,2015,2
Dark Tourism,2015,2
Destination Image And,2015,2
Digital Cultural,2015,2
Digital Cultural Heritage,2015,2
Dubai,2015,2
English And Arabic,2015,2
For Cultural Heritage,2015,2
